id,text,Effect,Subject.name,Subject.properties,Subject.properties.logOp,Resource.name,Resource.properties,Resource.properties.logOp,Actions,Condition.particle,Condition.logOp,Condition.subjects,Condition.subjects.logOp,Condition.resources,Condition.resources.logOp,Condition.envNetworks,Condition.envNetworks.logOp,Condition.envDatetimes,Condition.envDatetimes.logOp
49,Research assistants with verified campus accounts are permitted to read datasets and journals designated as academic and licensed.,Allow,Research assistants,with verified campus accounts,,datasets,academic | licensed,and,read,,,,,,,,,,
49,Research assistants with verified campus accounts are permitted to read datasets and journals designated as academic and licensed.,Allow,Research assistants,with verified campus accounts,,journals,academic | licensed,and,read,,,,,,,,,,
50,Manuscripts and repositories categorised as historical and encrypted are available for viewing by visiting scholars with temporary affiliations.,Allow,scholars,visiting | with temporary affiliations,and,manuscripts,historical | encrypted,and,view,,,,,,,,,,
50,Manuscripts and repositories categorised as historical and encrypted are available for viewing by visiting scholars with temporary affiliations.,Allow,scholars,visiting | with temporary affiliations,and,repositories,historical | encrypted,and,view,,,,,,,,,,
51,Researchers with expired library cards or incomplete identity verification cannot modify catalogs and indexes labeled confidential and institutional.,Deny,Researchers,with expired library cards | with incomplete identity verification,or,catalogs,confidential | institutional,and,modify,,,,,,,,,,
51,Researchers with expired library cards or incomplete identity verification cannot modify catalogs and indexes labeled confidential and institutional.,Deny,Researchers,with expired library cards | with incomplete identity verification,or,indexes,confidential | institutional,and,modify,,,,,,,,,,
52,Staff members holding inactive accounts or revoked privileges may not read licensed archives and protected datasets.,Deny,staff members,with inactive accounts | with revoked privileges,or,archives,licensed,,read,,,,,,,,,,
52,Staff members holding inactive accounts or revoked privileges may not read licensed archives and protected datasets.,Deny,staff members,with inactive accounts | with revoked privileges,or,datasets,protected,,read,,,,,,,,,,
53,Cardiologists with emergency clearance or active surgical duties may access records and scans marked urgent or confidential.,Allow,Cardiologists,with emergency clearance | with active surgical duties,or,records,urgent | confidential,or,access,,,,,,,,,,
53,Cardiologists with emergency clearance or active surgical duties may access records and scans marked urgent or confidential.,Allow,Cardiologists,with emergency clearance | with active surgical duties,or,scans,urgent | confidential,or,access,,,,,,,,,,
54,Appointments and profiles designated internal or protected can be viewed by receptionists with front-desk authorization or weekend assignments.,Allow,receptionists,with front-desk authorization | with weekend assignments,or,Appointments,designated internal | designated protected,or,view,,,,,,,,,,
55,Therapists who are accredited or counselors who are assigned to rehabilitation and employed full-time may read assessments and notes that are confidential and encrypted when the assessments or notes are associated with ongoing therapy and the access request is submitted during approved consultation hours.,Allow,Therapists,accredited,,assessments,confidential | encrypted,and,read,when,and,,,assessments (associated with ongoing therapy) | notes (associated with ongoing therapy),or,,,during approved consultation hours,
55,Therapists who are accredited or counselors who are assigned to rehabilitation and employed full-time may read assessments and notes that are confidential and encrypted when the assessments or notes are associated with ongoing therapy and the access request is submitted during approved consultation hours.,Allow,Therapists,accredited,,notes,confidential | encrypted,and,read,when,and,,,assessments (associated with ongoing therapy) | notes (associated with ongoing therapy),or,,,during approved consultation hours,
55,Therapists who are accredited or counselors who are assigned to rehabilitation and employed full-time may read assessments and notes that are confidential and encrypted when the assessments or notes are associated with ongoing therapy and the access request is submitted during approved consultation hours.,Allow,counselors,assigned to rehabilitation | employed full-time,or,assessments,confidential | encrypted,and,read,when,and,,,assessments (associated with ongoing therapy) | notes (associated with ongoing therapy),or,,,during approved consultation hours,
55,Therapists who are accredited or counselors who are assigned to rehabilitation and employed full-time may read assessments and notes that are confidential and encrypted when the assessments or notes are associated with ongoing therapy and the access request is submitted during approved consultation hours.,Allow,counselors,assigned to rehabilitation | employed full-time,or,notes,confidential | encrypted,and,read,when,and,,,assessments (associated with ongoing therapy) | notes (associated with ongoing therapy),or,,,during approved consultation hours,
56,"Consultants or vendors who are unaffiliated, remotely connected, or lacking security clearance may not read assessments and notes that are encrypted and confidential when the assessments or notes are related to intensive care and the connection is established through a public network.",Deny,consultants,unaffiliated | remotely connected | lacking security clearance,or,assessments,encrypted | confidential,and,read,when,and,,,notes (related on intensive care),,public network,,,
56,"Consultants or vendors who are unaffiliated, remotely connected, or lacking security clearance may not read assessments and notes that are encrypted and confidential when the assessments or notes are related to intensive care and the connection is established through a public network.",Deny,consultants,unaffiliated | remotely connected | lacking security clearance,or,notes,encrypted | confidential,and,read,when,and,,,notes (related on intensive care),,public network,,,
56,"Consultants or vendors who are unaffiliated, remotely connected, or lacking security clearance may not read assessments and notes that are encrypted and confidential when the assessments or notes are related to intensive care and the connection is established through a public network.",Deny,vendors,unaffiliated | remotely connected | lacking security clearance,or,assessments,encrypted | confidential,and,read,when,and,,,notes (related on intensive care),,public network,,,
56,"Consultants or vendors who are unaffiliated, remotely connected, or lacking security clearance may not read assessments and notes that are encrypted and confidential when the assessments or notes are related to intensive care and the connection is established through a public network.",Deny,vendors,unaffiliated | remotely connected | lacking security clearance,or,notes,encrypted | confidential,and,read,when,and,,,notes (related on intensive care),,public network,,,
57,Faculty members may download manuscripts that are archived and  multilingual and restricted catalogs only if they are requested during library opening hours and the user is connected through the university VPN.,Allow,faculty members,,,manuscripts,archived,,download,only if,and,,,,,connected through the University VPN,,during libray opening hours,
57,Faculty members may download manuscripts that are archived and  multilingual and restricted catalogs only if they are requested during library opening hours and the user is connected through the university VPN.,Allow,faculty members,,,catalogs,multilingual | restricted,and,download,only if,and,,,,,connected through the University VPN,,during libray opening hours,
58,"Temporary staff cannot download access theses and datasets that are encrypted, institution-owned, and unpublished when the theses or datasets are awaiting faculty approval or the user is connected through a public network.",Deny,Temporary staff,,,theses,encrypted | institution-owned | unpublished,and,download,when,or,,,theses (awaiting faculty approval) | datasets (awaiting faculty approval),,public network,,,
58,"Temporary staff cannot download access theses and datasets that are encrypted, institution-owned, and unpublished when the theses or datasets are awaiting faculty approval or the user is connected through a public network.",Deny,Temporary staff,,,datasets,encrypted | institution-owned | unpublished,and,download,when,or,,,theses (awaiting faculty approval) | datasets (awaiting faculty approval),,public network,,,
59,Doctors and nurses may read and modify records and schedules when the records relate to patients currently under their care or the schedules concern clinic sessions taking place that day.,Allow,Doctors,,,records,,,read | modify,when,,,,records (relate to patients currently under their care) | schedules (concern clinic sessions taking place that day),or,,,,
59,Doctors and nurses may read and modify records and schedules when the records relate to patients currently under their care or the schedules concern clinic sessions taking place that day.,Allow,Doctors,,,schedules,,,read | modify,when,,,,records (relate to patients currently under their care) | schedules (concern clinic sessions taking place that day),or,,,,
59,Doctors and nurses may read and modify records and schedules when the records relate to patients currently under their care or the schedules concern clinic sessions taking place that day.,Allow,nurses,,,records,,,read | modify,when,,,,records (relate to patients currently under their care) | schedules (concern clinic sessions taking place that day),or,,,,
59,Doctors and nurses may read and modify records and schedules when the records relate to patients currently under their care or the schedules concern clinic sessions taking place that day.,Allow,nurses,,,schedules,,,read | modify,when,,,,records (relate to patients currently under their care) | schedules (concern clinic sessions taking place that day),or,,,,
60,Pharmacists and physicians can access and update prescriptions and inventories when the prescriptions are associated with active treatments or the inventories correspond to medications awaiting dispensing.,Allow,Pharmacists,,,prescriptions,,,access | update,when,,,,prescriptions (associated with active treatments) | inventories (related to medications awaiting dispensing),or,,,,
60,Pharmacists and physicians can access and update prescriptions and inventories when the prescriptions are associated with active treatments or the inventories correspond to medications awaiting dispensing.,Allow,Pharmacists,,,inventories,,,access | update,when,,,,prescriptions (associated with active treatments) | inventories (related to medications awaiting dispensing),or,,,,
60,Pharmacists and physicians can access and update prescriptions and inventories when the prescriptions are associated with active treatments or the inventories correspond to medications awaiting dispensing.,Allow,physicians,,,prescriptions,,,access | update,when,,,,prescriptions (associated with active treatments) | inventories (related to medications awaiting dispensing),or,,,,
60,Pharmacists and physicians can access and update prescriptions and inventories when the prescriptions are associated with active treatments or the inventories correspond to medications awaiting dispensing.,Allow,physicians,,,inventories,,,access | update,when,,,,prescriptions (associated with active treatments) | inventories (related to medications awaiting dispensing),or,,,,
61,Receptionists and care coordinators may view and edit appointments and referrals only if the appointments are scheduled within the current operating period or the referrals are pending specialist review.,Allow,Receptionists,,,appointments,,,view | edit,only if,,,,appointments (scheduled within the current operating period) | referrals (pending specialist review),or,,,,
61,Receptionists and care coordinators may view and edit appointments and referrals only if the appointments are scheduled within the current operating period or the referrals are pending specialist review.,Allow,Receptionists,,,referrals,,,view | edit,only if,,,,appointments (scheduled within the current operating period) | referrals (pending specialist review),or,,,,
61,Receptionists and care coordinators may view and edit appointments and referrals only if the appointments are scheduled within the current operating period or the referrals are pending specialist review.,Allow,care coordinators,,,appointments,,,view | edit,only if,,,,appointments (scheduled within the current operating period) | referrals (pending specialist review),or,,,,
61,Receptionists and care coordinators may view and edit appointments and referrals only if the appointments are scheduled within the current operating period or the referrals are pending specialist review.,Allow,care coordinators,,,referrals,,,view | edit,only if,,,,appointments (scheduled within the current operating period) | referrals (pending specialist review),or,,,,
62,Laboratory technicians and pathologists are allowed to read and revise reports and requests provided that the reports pertain to tests completed during the current case or the requests originate from ongoing patient assessments.,Allow,technicians,Laboratory,,reports,,,read | revise,provided that,,,,reports (pertain to tests completed during the current case) | requests (from ongoing patient assessments),or,,,,
62,Laboratory technicians and pathologists are allowed to read and revise reports and requests provided that the reports pertain to tests completed during the current case or the requests originate from ongoing patient assessments.,Allow,technicians,Laboratory,,requests,,,read | revise,provided that,,,,reports (pertain to tests completed during the current case) | requests (from ongoing patient assessments),or,,,,
62,Laboratory technicians and pathologists are allowed to read and revise reports and requests provided that the reports pertain to tests completed during the current case or the requests originate from ongoing patient assessments.,Allow,pathologists,,,reports,,,read | revise,provided that,,,,reports (pertain to tests completed during the current case) | requests (from ongoing patient assessments),or,,,,
62,Laboratory technicians and pathologists are allowed to read and revise reports and requests provided that the reports pertain to tests completed during the current case or the requests originate from ongoing patient assessments.,Allow,pathologists,,,requests,,,read | revise,provided that,,,,reports (pertain to tests completed during the current case) | requests (from ongoing patient assessments),or,,,,
63,Radiologists and imaging specialists may access and modify scans and reports when the scans are linked to patients undergoing active diagnosis or the reports are awaiting clinical confirmation.,Allow,Radiologists,,,scans,,,access | modify,when,and,,,scans (for patients undergoing active diagnosis) | reports (under clinical confirmation),or,,,,
63,Radiologists and imaging specialists may access and modify scans and reports when the scans are linked to patients undergoing active diagnosis or the reports are awaiting clinical confirmation.,Allow,Radiologists,,,reports,,,access | modify,when,and,,,scans (for patients undergoing active diagnosis) | reports (under clinical confirmation),or,,,,
63,Radiologists and imaging specialists may access and modify scans and reports when the scans are linked to patients undergoing active diagnosis or the reports are awaiting clinical confirmation.,Allow,specialists,imaging,,scans,,,access | modify,when,and,,,scans (for patients undergoing active diagnosis) | reports (under clinical confirmation),or,,,,
63,Radiologists and imaging specialists may access and modify scans and reports when the scans are linked to patients undergoing active diagnosis or the reports are awaiting clinical confirmation.,Allow,specialists,imaging,,reports,,,access | modify,when,and,,,scans (for patients undergoing active diagnosis) | reports (under clinical confirmation),or,,,,
64,Visiting researchers and external consultants may not download or modify manuscripts and datasets if the manuscripts are under embargo or the datasets are restricted to active research programs.,Deny,researchers,Visiting,,manuscripts,,,download | modify,if,,,,manuscripts (under embargo) | datasets (restricted to active research programs),or,,,,
64,Visiting researchers and external consultants may not download or modify manuscripts and datasets if the manuscripts are under embargo or the datasets are restricted to active research programs.,Deny,researchers,Visiting,,datasets,,,download | modify,if,,,,manuscripts (under embargo) | datasets (restricted to active research programs),or,,,,
64,Visiting researchers and external consultants may not download or modify manuscripts and datasets if the manuscripts are under embargo or the datasets are restricted to active research programs.,Deny,consultants,external,,manuscripts,,,download | modify,if,,,,manuscripts (under embargo) | datasets (restricted to active research programs),or,,,,
64,Visiting researchers and external consultants may not download or modify manuscripts and datasets if the manuscripts are under embargo or the datasets are restricted to active research programs.,Deny,consultants,external,,datasets,,,download | modify,if,,,,manuscripts (under embargo) | datasets (restricted to active research programs),or,,,,
65,Student assistants and temporary staff are allowed to access or delete archives and publications unless the archives contain unreleased findings or the publications are awaiting editorial approval.,Allow,Student assistants,,,archives,,,access | delete,unless,,,,archives (contain unreleased findings) | publications (awaiting editorial approval),or,,,,
65,Student assistants and temporary staff are allowed to access or delete archives and publications unless the archives contain unreleased findings or the publications are awaiting editorial approval.,Allow,Student assistants,,,publications,,,access | delete,unless,,,,archives (contain unreleased findings) | publications (awaiting editorial approval),or,,,,
65,Student assistants and temporary staff are allowed to access or delete archives and publications unless the archives contain unreleased findings or the publications are awaiting editorial approval.,Allow,staff,temporary,,archives,,,access | delete,unless,,,,archives (contain unreleased findings) | publications (awaiting editorial approval),or,,,,
65,Student assistants and temporary staff are allowed to access or delete archives and publications unless the archives contain unreleased findings or the publications are awaiting editorial approval.,Allow,staff,temporary,,publications,,,access | delete,unless,,,,archives (contain unreleased findings) | publications (awaiting editorial approval),or,,,,
66,Guest scholars and contract analysts cannot read or update catalogs and records if the catalogs include confidential collections or the records relate to ongoing investigations.,Deny,scholars,guest,,catalogs,,,read | update,if,,,,catalogs (include confidential collections) | records (relate to ongoing investigations),or,,,,
66,Guest scholars and contract analysts cannot read or update catalogs and records if the catalogs include confidential collections or the records relate to ongoing investigations.,Deny,scholars,guest,,records,,,read | update,if,,,,catalogs (include confidential collections) | records (relate to ongoing investigations),or,,,,
66,Guest scholars and contract analysts cannot read or update catalogs and records if the catalogs include confidential collections or the records relate to ongoing investigations.,Deny,analysts,contract,,catalogs,,,read | update,if,,,,catalogs (include confidential collections) | records (relate to ongoing investigations),or,,,,
66,Guest scholars and contract analysts cannot read or update catalogs and records if the catalogs include confidential collections or the records relate to ongoing investigations.,Deny,analysts,contract,,records,,,read | update,if,,,,catalogs (include confidential collections) | records (relate to ongoing investigations),or,,,,
67,Interns and volunteer researchers may not access or alter journals and repositories when the journals are reserved for peer-review activities or the repositories contain material subject to licensing restrictions.,Deny,Interns,,,journals,,,access | alter,when,,,,journals (reserved for peer-review activities) | repositories (contain material subject to licensing restrictions),or,,,,
67,Interns and volunteer researchers may not access or alter journals and repositories when the journals are reserved for peer-review activities or the repositories contain material subject to licensing restrictions.,Deny,Interns,,,repositories,,,access | alter,when,,,,journals (reserved for peer-review activities) | repositories (contain material subject to licensing restrictions),or,,,,
67,Interns and volunteer researchers may not access or alter journals and repositories when the journals are reserved for peer-review activities or the repositories contain material subject to licensing restrictions.,Deny,researchers,volunteer,,journals,,,access | alter,when,,,,journals (reserved for peer-review activities) | repositories (contain material subject to licensing restrictions),or,,,,
67,Interns and volunteer researchers may not access or alter journals and repositories when the journals are reserved for peer-review activities or the repositories contain material subject to licensing restrictions.,Deny,researchers,volunteer,,repositories,,,access | alter,when,,,,journals (reserved for peer-review activities) | repositories (contain material subject to licensing restrictions),or,,,,
68,External auditors and visiting fellows are not allowed to download or edit theses and documents if the theses are pending formal publication or the documents belong to restricted research initiatives.,Deny,auditors,External,,theses,,,download | edit,if,,,,theses (pending formal publication) | documents (belong to restricted research initiatives),or,,,,
68,External auditors and visiting fellows are not allowed to download or edit theses and documents if the theses are pending formal publication or the documents belong to restricted research initiatives.,Deny,auditors,External,,documents,,,download | edit,if,,,,theses (pending formal publication) | documents (belong to restricted research initiatives),or,,,,
68,External auditors and visiting fellows are not allowed to download or edit theses and documents if the theses are pending formal publication or the documents belong to restricted research initiatives.,Deny,visiting fellows,,,theses,,,download | edit,if,,,,theses (pending formal publication) | documents (belong to restricted research initiatives),or,,,,
68,External auditors and visiting fellows are not allowed to download or edit theses and documents if the theses are pending formal publication or the documents belong to restricted research initiatives.,Deny,visiting fellows,,,documents,,,download | edit,if,,,,theses (pending formal publication) | documents (belong to restricted research initiatives),or,,,,
69,Senior researchers and accredited librarians may access restricted manuscripts and curated datasets when the researchers are assigned to an active research project and the manuscripts belong to the project collection and the request originates from the institute network.,Allow,researchers,senior,,manuscripts,restricted,,access,provided that,and,researchers (assigned to an active research project),,manuscripts (belong to the project collection),,request from institute network,,,
69,Senior researchers and accredited librarians may access restricted manuscripts and curated datasets when the researchers are assigned to an active research project and the manuscripts belong to the project collection and the request originates from the institute network.,Allow,researchers,senior,,datasets,curated,,access,provided that,and,researchers (assigned to an active research project),,manuscripts (belong to the project collection),,request from institute network,,,
69,Senior researchers and accredited librarians may access restricted manuscripts and curated datasets when the researchers are assigned to an active research project and the manuscripts belong to the project collection and the request originates from the institute network.,Allow,accredited librarians,,,manuscripts,restricted,,access,provided that,and,researchers (assigned to an active research project),,manuscripts (belong to the project collection),,request from institute network,,,
69,Senior researchers and accredited librarians may access restricted manuscripts and curated datasets when the researchers are assigned to an active research project and the manuscripts belong to the project collection and the request originates from the institute network.,Allow,accredited librarians,,,datasets,curated,,access,provided that,and,researchers (assigned to an active research project),,manuscripts (belong to the project collection),,request from institute network,,,
70,Certified archivists and permanent fellows may read historical journals and classified repositories when the fellows are participating in an approved study and the repositories support that study and the connection is established through the secure library network.,Allow,archivists,certified,,journals,historical,,read,when,and,fwllows (participating in an approved study),,repositories (support approved study),,connection is established through the secure library network,,,
70,Certified archivists and permanent fellows may read historical journals and classified repositories when the fellows are participating in an approved study and the repositories support that study and the connection is established through the secure library network.,Allow,archivists,certified,,repositories,classified,,read,when,and,fwllows (participating in an approved study),,repositories (support approved study),,connection is established through the secure library network,,,
70,Certified archivists and permanent fellows may read historical journals and classified repositories when the fellows are participating in an approved study and the repositories support that study and the connection is established through the secure library network.,Allow,permanent fellows,,,journals,historical,,read,when,and,fwllows (participating in an approved study),,repositories (support approved study),,connection is established through the secure library network,,,
70,Certified archivists and permanent fellows may read historical journals and classified repositories when the fellows are participating in an approved study and the repositories support that study and the connection is established through the secure library network.,Allow,permanent fellows,,,repositories,classified,,read,when,and,fwllows (participating in an approved study),,repositories (support approved study),,connection is established through the secure library network,,,
71,Lead scientists and authorized cataloguers may access peer-reviewed publications and indexed records when the scientists hold responsibility for the current research program and the publications are associated with that program and the session is conducted from an internal network segment.,Allow,Lead scientists,,,pubblications,peer-reviewed,,access | modify,provided that,and,scientists (responsible for the current research program),,publications (associated with that program),,session is conducted from an internal network segment,,,
71,Lead scientists and authorized cataloguers may access peer-reviewed publications and indexed records when the scientists hold responsibility for the current research program and the publications are associated with that program and the session is conducted from an internal network segment.,Allow,Lead scientists,,,records,indexed,,access | modify,provided that,and,scientists (responsible for the current research program),,publications (associated with that program),,session is conducted from an internal network segment,,,
71,Lead scientists and authorized cataloguers may access peer-reviewed publications and indexed records when the scientists hold responsibility for the current research program and the publications are associated with that program and the session is conducted from an internal network segment.,Allow,cataloguers,authorized,,pubblications,peer-reviewed,,access | modify,provided that,and,scientists (responsible for the current research program),,publications (associated with that program),,session is conducted from an internal network segment,,,
71,Lead scientists and authorized cataloguers may access peer-reviewed publications and indexed records when the scientists hold responsibility for the current research program and the publications are associated with that program and the session is conducted from an internal network segment.,Allow,cataloguers,authorized,,records,indexed,,access | modify,provided that,and,scientists (responsible for the current research program),,publications (associated with that program),,session is conducted from an internal network segment,,,
72,Principal investigators and senior specialist staff may view and upload draft theses and annotated documents when the investigators are engaged in an ongoing institute initiative and the documents are part of that initiative and the access request comes through the protected campus network.,Allow,principal investigators,,,theses,draft,,view | upload,when,and,investigators (engaged in an ongoing institute initiative),,documents (part of that initiative),,access request comes through the protected campus network,,,
72,Principal investigators and senior specialist staff may view and upload draft theses and annotated documents when the investigators are engaged in an ongoing institute initiative and the documents are part of that initiative and the access request comes through the protected campus network.,Allow,principal investigators,,,documents,annotated,,view | upload,when,and,investigators (engaged in an ongoing institute initiative),,documents (part of that initiative),,access request comes through the protected campus network,,,
72,Principal investigators and senior specialist staff may view and upload draft theses and annotated documents when the investigators are engaged in an ongoing institute initiative and the documents are part of that initiative and the access request comes through the protected campus network.,Allow,staff,specialist | senior,and,theses,draft,,view | upload,when,and,investigators (engaged in an ongoing institute initiative),,documents (part of that initiative),,access request comes through the protected campus network,,,
72,Principal investigators and senior specialist staff may view and upload draft theses and annotated documents when the investigators are engaged in an ongoing institute initiative and the documents are part of that initiative and the access request comes through the protected campus network.,Allow,staff,specialist | senior,and,documents,annotated,,view | upload,when,and,investigators (engaged in an ongoing institute initiative),,documents (part of that initiative),,access request comes through the protected campus network,,,
73,Junior researchers and digital curators may read archived reports and validated collections unless the researchers are working on an expired project and the collections are related to that project and the network connection uses the institute's secure infrastructure.,Allow,reserarchers,junior,,reports,archived,,read,unless,and,researchers (working on expired project),,collections (related to that project),,using institute's secure infrastructure,,,
73,Junior researchers and digital curators may read archived reports and validated collections unless the researchers are working on an expired project and the collections are related to that project and the network connection uses the institute's secure infrastructure.,Allow,reserarchers,junior,,collections,validated,,read,unless,and,researchers (working on expired project),,collections (related to that project),,using institute's secure infrastructure,,,
73,Junior researchers and digital curators may read archived reports and validated collections unless the researchers are working on an expired project and the collections are related to that project and the network connection uses the institute's secure infrastructure.,Allow,digital curators,,,reports,archived,,read,unless,and,researchers (working on expired project),,collections (related to that project),,using institute's secure infrastructure,,,
